ISBN,专业,年级,版次
9787544682190,各专业,2024,第2版
9787544658737,各专业,2024,第2版
9787302659938,各专业,2024,全新版
9787040557848,各专业,2024,第1版
9787040581416,各专业,2024,第1版
9787513590143,各专业,2024,第2版
9787513590112,各专业,2024,第2版
9787300309934,各专业,2024,第2版
9787521325560,各专业,2024,第3版
9787544661874,各专业,2024,第1版
9787566013729,各专业,2024,第1版
9787521312843,各专业,2024,第13版(中国版)
9787513550154,各专业,2024,第9版
9787560073323,各专业,2024,第1版
9787301247235,各专业,2024,第1版
9787302659914,各专业,2025,全新版
9787040557848,各专业,2025,第1版
9787521327267,各专业,2025,第1版
9787521365627,各专业,2025,第4版（新形态版）
9787521365535,各专业,2025,第4版（新形态版）
9787544661850,各专业,2025,第1版
9787521312843,各专业,2025,第13版(中国版)
9787521362749,各专业,2025,第1版
9787521328134,各专业,2025,第2版
9787544682190,各专业,2024,第2版
9787544658737,各专业,2024,第2版
9787302659938,各专业,2024,全新版
9787040557848,各专业,2024,第1版
9787040581416,各专业,2024,第1版
9787513590143,各专业,2024,第2版
9787513590112,各专业,2024,第2版
9787300309934,各专业,2024,第2版
9787521325560,各专业,2024,第3版
9787544661874,各专业,2024,第1版
9787566013729,各专业,2024,第1版
9787521312843,各专业,2024,第13版(中国版)
9787513550154,各专业,2024,第9版
9787560073323,各专业,2024,第1版
9787301247235,各专业,2024,第1版
9787302659914,各专业,2025,全新版
9787040557848,各专业,2025,第1版
9787521327267,各专业,2025,第1版
9787521365627,各专业,2025,第4版（新形态版）
9787521365535,各专业,2025,第4版（新形态版）
9787544661850,各专业,2025,第1版
9787521312843,各专业,2025,第13版(中国版)
9787521362749,各专业,2025,第1版
9787521328134,各专业,2025,第2版
9787115564979,各专业,2025,1
9787010152516,所有专业,大一年级、大三年级,第三版
