ISBN,专业,年级,版次
9787300242620,人文地理与城乡规划,2024,理工类.第五版
9787115647924,人文地理与城乡规划,2024,第3版
9787115647924,俄语,2024,第3版
9787300242620,信安,2024,理工类.第五版
9787300242620,农业机械化及其自动化,2024,理工类.第五版
9787030365163,农业经济管理类,2024,2013年1月第一版
97870400127105,农业资源与环境,2024,1982年10月第一版
9787115572653,制药工程,2024,第1版
9787030640154,动物药学,2024,第六版
9787544682190,各专业,2024,第2版
9787544658737,各专业,2024,第2版
9787302659938,各专业,2024,全新版
9787040557848,各专业,2024,第1版
9787040581416,各专业,2024,第1版
9787513590143,各专业,2024,第2版
9787513590112,各专业,2024,第2版
9787300309934,各专业,2024,第2版
9787521325560,各专业,2024,第3版
9787544661874,各专业,2024,第1版
9787566013729,各专业,2024,第1版
9787521312843,各专业,2024,第13版(中国版)
9787513550154,各专业,2024,第9版
9787560073323,各专业,2024,第1版
9787301247235,各专业,2024,第1版
9787300242620,国际经济与贸易,2024,理工类.第五版
97870400127105,土地科学与技术,2024,1982年10月第一版
9787300242620,土木工程,2024,理工类.第五版
9787300242620,地理信息科学,2024,理工类.第五版
9787115647924,地理信息科学,2024,第3版
9787040648805,地理科学(师范),2024,第1版
9787040648805,学前教育(师范),2024,第1版
9787030365163,工商管理类,2024,2013年1月第一版
9787300242620,市场营销,2024,理工类.第五版
9787040624106,广播电视编导,2024,第1版
9787115647924,应用心理学,2024,第3版
9787115647924,德语,2024,第3版
9787115647924,心理学(中外合作办学),2024,第3版
9787040648805,心理学(师范),2024,第1版
9787115647924,思想政治教育,2024,第3版
9787040648805,思想政治教育(师范),2024,第1版
9787040624106,戏剧影视文学,2024,第1版
9787040624106,播音与主持艺术,2024,第1版
9787115647924,教育学(晏阳初实验班),2024,第3版
9787115647924,新闻学,2024,第3版
9787115647924,日语,2024,第3版
9787040504811,智能制造工程,2024,2018年10月第五版
9787300242620,智能制造工程,2024,理工类.第五版
9787040504811,智能车辆工程,2024,2018年10月第五版
9787300242620,智能车辆工程,2024,理工类.第五版
9787040624106,服装与服饰设计,2024,第1版
9787040504811,机械设计制造及其自动化,2024,2018年10月第五版
9787300242620,机械设计制造及其自动化,2024,理工类.第五版
9787300242620,材料类,2024,理工类.第五版
97870400127105,林学,2024,1982年10月第一版
97870400127105,水土保持与荒漠化防治,2024,1982年10月第一版
9787115647924,汉语国际教育,2024,第3版
9787115647924,汉语言文学,2024,第3版
9787040648805,汉语言文学(师范),2024,第1版
9787115647924,法学,2024,第3版
9787300242620,物流管理,2024,理工类.第五版
9787040648805,特殊教育(师范),2024,第1版
9787569703214,环境科学与工程,2024,第二版
9787030365163,环境科学与工程,2024,2013年1月第一版
9787300242620,生技,2024,理工类.第五版
9787115572653,生物技术,2024,第1版
9787030365163,生物科学与工程,2024,2013年3月第一版
9787115572653,生物质科学与工程,2024,第1版
9787300242620,电信,2024,理工类.第五版
9787300242620,电子信息工程,2024,理工类.第五版
9787040504811,电气工程及其自动化,2024,2018年10月第五版
9787300242620,电气工程及其自动化,2024,理工类.第五版
9787115572653,神农班（3003）,2024,第1版
9787300242620,管理科学与工程,2024,理工类.第五版
9787030365163,纺织工程,2024,2013年2月第一版
9787115572653,纺织工程,2024,第1版
9787030365163,经济学类,2024,2013年1月第一版
9787040624106,绘画,2024,第1版
9787040624106,美术学(师范),2024,第1版
9787115647924,英语,2024,第3版
9787040648805,英语(师范),2024,第1版
9787115572653,药学,2024,第1版
9787115572653,药学(远志全英文创新实验班),2024,第1版
9787115572653,蚕学；生物技术,2024,第1版
9787040624106,视觉传达设计,2024,第1版
9787300242620,通信,2024,理工类.第五版
9787040624106,雕塑,2024,第1版
9787030365163,食品质量与安全,2024,2013年2月第一版
9787115647924,马克思主义理论,2024,第3版
9787109334281,,2025,第二版
9787300243849,乡村治理,2025,2017年7月第5版
9787115572653,信息安全,2025,第1版
9787040589818,信息安全,2025,第八版
9787040588682,信息安全,2025,第八版
9787567591554,公共管理类,2025,2019年6月第二版
9787301291603,农业机械化及其自动化,2025,2
9787030489449,农业机械化及其自动化,2025,2
9787040589818,农业机械化及其自动化,2025,第八版
9787040588682,农业机械化及其自动化,2025,第八版
9787109334281,农业经济管理,2025,第二版
9787040589818,制药工程,2025,第八版
9787040588682,制药工程,2025,第八版
9787030635204,动物医学（五年制）,2025,第五版
9787030537935,动物医学（五年制）,2025,第三版
9787030638038,动物医学（五年制）、动物药学,2025,第二版
